实例ID,最优目标值（Project Total Cost）,最优工作包划分
j403_2,1968.9793953756084,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,28,29,30,31,33,34,35,36,37,38,39,40,41]; I32:[32]; I14:[14]; I15:[15]; A2:[16,17,18,19,20,21,22,26,27]; I23:[23]; A3:[24,25]; I42:[42]"
j403_3,,
j403_4,2283.1164007197667,"I1:[1]; A1:[2,3,4,5,6,7,8,9,11,12,15,21,40,41]; I10:[10]; I26:[26]; A2:[13,14,16,17,18,19,20,22,28,32,34,39]; I23:[23]; A3:[24,25,31,37,38]; I27:[27]; A4:[29,30,33,35,36]; I42:[42]"
j403_5,2142.555258188133,"I1:[1]; A1:[2]; I5:[5]; A2:[3,4]; A3:[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24]; I25:[25]; I26:[26]; A4:[27,28,29,30,31,32,33,34,35,36,37,38]; I39:[39]; A5:[40,41]; I42:[42]"
j403_6,1987.9133560048285,"I1:[1]; A1:[2,3]; I4:[4]; I5:[5]; A2:[6,7,8,9,10,11,12,13,14,17,25,40,41]; I15:[15]; A3:[16,18,19,20,21,22,23,24,26,31,33,37,38,39]; I29:[29]; A4:[27,28,30,32,34,35,36]; I42:[42]"
j403_7,1985.7871120819837,"I1:[1]; A1:[2,3,4,5,6,7,8,9,11,13,15,16,19]; I10:[10]; I12:[12]; A2:[14,17,18,20,21,22,23,24,25,26,28,31]; I27:[27]; I41:[41]; A3:[29,30,32,33,34,35,36,37,38,39,40]; I42:[42]"
j403_8,2073.6327406013825,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]; I22:[22]; A2:[23,24,25,26,27,28,29]; I30:[30]; A3:[31,32,41]; I33:[33]; I35:[35]; A4:[34,36,37,38,39,40]; I42:[42]"
j403_9,2006.0292035937919,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14]; I20:[20]; A2:[15,16,17,18,19]; A3:[21,22,23,24,25,26,27,28,29,30,31]; I33:[33]; I32:[32]; A4:[34]; I36:[36]; A5:[35,37,38,39,40,41]; I42:[42]"
j403_10,,
j404_1,2140.9358914894883,"I1:[1]; A1:[2,3,4,5,6,7]; I19:[19]; I8:[8]; A2:[9,10,11]; I12:[12]; A3:[13,14,15,16,17,18,20,21,22,23]; I24:[24]; A4:[25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41]; I42:[42]"
j404_2,2081.6057685095625,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,19,21,35]; I14:[14]; I15:[15]; A2:[16,17,18,20,22,41]; I23:[23]; A3:[24,25,26,27,28,29,30,31,37,39,40]; I32:[32]; A4:[33,34,36,38]; I42:[42]"
j404_3,2024.8617865308174,"I1:[1]; A1:[2,37,38,39,40,41]; I3:[3]; A2:[4,5,6,7,8,9,10]; I11:[11]; A3:[12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,34,35,36]; I27:[27]; A4:[28,29,30,31]; I32:[32]; A5:[33]; I42:[42]"
j404_4,,
j404_5,,
j404_6,,
j404_7,,
j404_8,2172.791939492075,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20]; I22:[22]; A2:[18,19,21,23,24,25,26,27,28,29]; I30:[30]; A3:[31,32]; I33:[33]; A4:[34,39]; I35:[35]; A5:[36,37,38,40,41]; I42:[42]"
j404_9,2003.420692811415,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,26,38,39,40,41]; I20:[20]; A2:[21,22,23,24,25,27,28,29,30,31,37]; I36:[36]; I32:[32]; I33:[33]; A3:[34,35]; I42:[42]"
j404_10,2161.1230974025184,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13,14,17,21,31]; I15:[15]; I16:[16]; A2:[18,19,20,22,23,24,25,26,28,35]; I27:[27]; A3:[29,30,32,33,34,36,37,38,39,41]; I40:[40]; I42:[42]"
j405_1,,
j405_2,2170.0716075598816,"I1:[1]; A1:[2,3,4,5,6,7,8,9,10,11,12,13]; I14:[14]; I15:[15]; A2:[16,17,18,19,20,21,22]; I23:[23]; A3:[24,25,26,27,28,29,30,31]; I32:[32]; A4:[33,34,35,36,37,38,39,40,41]; I42:[42]"
j405_3,,
j405_4,2480.4910178033733,"I1:[1]; A1:[2,3,4,5,6,7,8,9]; I10:[10]; A2:[11,12,13,14,15,16,17,18,19,20,21,22]; I23:[23]; A3:[24,25]; I26:[26]; I27:[27]; A4:[28,29,30,31,32,33,34,35,36,37,38,39,40,41]; I42:[42]"
j405_5,,
j405_6,2140.3221674783845,"I1:[1]; A1:[2,3]; I4:[4]; I5:[5]; A2:[6,7,8,9,10,11,12,13,14]; I15:[15]; A3:[16,17,18,19,20,21,22,23,24,25,26,27,28]; I29:[29]; A4:[30,31,32,33,34,35,36,37,38,39,40,41]; I42:[42]"
j405_7,,
j405_8,,
j405_10,,
